Ano,Exportações (US$ FOB Milhões),Importações (US$ FOB Milhões),Saldo (US$ FOB Milhões),Corrente (US$ FOB Milhões)
1997,52947.495532,60537.962059,-7590.466527,113485.457591
1998,51076.603549,58672.860908,-7596.257359,109749.464457
1999,47945.90931,50259.540356,-2313.63104599999,98205.449666
2000,54993.159648,56976.35017,-1983.190522,111969.509818
2001,58032.294243,56569.020182,1463.274061,114601.314425
2002,60147.158103,48274.763553,11872.39455,108421.921656
2003,72776.74669,49307.163152,23469.583538,122083.909842
2004,95121.672369,63813.636668,31308.035701,158935.309037
2005,118597.835407,74692.215554,43905.619853,193290.050961
2006,137581.151209,92531.09687,45050.054339,230112.248079
2007,159816.383833,122041.94912,37774.434713,281858.332953
2008,195764.624177,174707.087626,21057.536551,370471.711803
2009,151791.674186,129397.611523,22394.062663,281189.285709
2010,200434.134826,183336.964846,17097.16998,383771.099672
2011,253666.309507,227969.756701,25696.552806,481636.066208
2012,239952.538158,225166.426069,14786.112089,465118.964227
2013,232544.255606,241500.886459,-8956.63085300001,474045.142065
2014,220923.236838,230823.018796,-9899.78195799998,451746.255634
2015,186782.355063,173104.259077,13678.095986,359886.61414
2016,179526.129214,139321.357653,40204.771561,318847.486867
2017,214988.108353,158951.444003,56036.66435,373939.552356
2018,231889.523399,185321.983502,46567.539897,417211.506901
2019,221126.807647,185927.96758,35198.840067,407054.775227
2020,209180.241655,158786.824879,50393.416776,367967.066534
2021,280814.57746,219408.04918,61406.52828,500222.62664
2022,334136.03822,272610.686946,61525.351274,606746.725166
2023,339695.766008,240792.839224,98902.926784,580488.605232
2024,337046.16171,262869.606174,74176.555536,599915.767884
2025,348278.462481,280208.433825,68070.028656,628486.896306
2026,116551.747132,91770.083025,24781.664107,208321.830157
