NUM_ZONA,COD_MUNICIPIO_TSE,NOM_MUNICIPIO,QTD_LOCAIS,QTD_SECOES,QTD_APTOS
4,60.011,RIO DE JANEIRO,29,320,116.923
5,60.011,RIO DE JANEIRO,61,354,115.633
7,60.011,RIO DE JANEIRO,40,283,106.269
8,60.011,RIO DE JANEIRO,28,219,85.740
9,60.011,RIO DE JANEIRO,38,356,153.173
10,60.011,RIO DE JANEIRO,28,217,84.195
14,60.011,RIO DE JANEIRO,28,234,86.308
16,60.011,RIO DE JANEIRO,21,324,117.388
17,60.011,RIO DE JANEIRO,34,305,109.156
21,60.011,RIO DE JANEIRO,31,242,89.908
22,60.011,RIO DE JANEIRO,41,302,113.342
23,60.011,RIO DE JANEIRO,32,225,79.743
24,60.011,RIO DE JANEIRO,23,238,98.915
25,60.011,RIO DE JANEIRO,20,232,96.650
26,58.670,NOVA FRIBURGO,29,226,63.110
27,58.696,NOVA IGUAÇU,48,312,79.596
28,58.734,PARAÍBA DO SUL,32,137,33.813
29,58.777,PETRÓPOLIS,69,477,133.161
30,58.246,PINHEIRAL,11,57,18.428
30,58.793,PIRAÍ,20,88,23.419
31,58.831,RESENDE,32,219,63.881
32,58.858,RIO BONITO,24,146,44.846
34,58.181,APERIBÉ,4,35,10.090
34,58.939,SANTO ANTÔNIO DE PÁDUA,26,129,33.440
35,58.955,SÃO FIDÉLIS,23,113,29.885
36,58.971,SÃO GONÇALO,18,297,92.479
37,58.998,SÃO JOÃO DA BARRA,23,136,42.125
38,59.153,TERESÓPOLIS,32,191,59.868
40,58.165,COMENDADOR LEVY GASPARIAN,10,31,7.967
40,59.196,TRÊS RIOS,20,87,19.180
41,59.234,VASSOURAS,25,105,28.861
42,58.092,BOM JARDIM,23,89,22.224
42,58.319,DUAS BARRAS,7,38,10.269
43,58.084,VARRE-SAI,8,29,8.684
43,58.610,NATIVIDADE,11,43,12.304
45,58.815,PORCIÚNCULA,19,55,13.143
48,58.572,MIGUEL PEREIRA,23,78,24.409
48,59.315,PATY DO ALFERES,19,78,24.030
49,58.157,CACHOEIRAS DE MACACU,37,157,46.222
50,58.254,CASIMIRO DE ABREU,20,118,35.332
51,58.270,CONCEIÇÃO DE MACABU,22,79,16.496
51,59.170,TRAJANO DE MORAES,12,40,9.200
52,58.297,CORDEIRO,14,61,16.534
52,58.386,MACUCO,6,28,7.000
54,58.513,MANGARATIBA,22,138,45.734
55,58.530,MARICÁ,44,496,178.711
56,58.556,MENDES,12,64,14.635
57,58.750,PARATY,37,119,34.780
59,59.030,SÃO PEDRO DA ALDEIA,40,244,72.956
60,58.912,SANTA MARIA MADALENA,14,37,8.782
60,59.056,SÃO SEBASTIÃO DO ALTO,9,31,7.815
61,59.072,SAPUCAIA,15,58,15.627
62,59.099,SAQUAREMA,48,275,88.385
63,59.110,SILVA JARDIM,14,70,18.345
64,59.137,SUMIDOURO,14,59,13.962
65,58.777,PETRÓPOLIS,55,348,103.502
68,58.971,SÃO GONÇALO,17,266,80.937
69,58.971,SÃO GONÇALO,21,238,81.260
70,58.718,PARACAMBI,17,111,33.326
71,58.653,NITERÓI,33,366,109.526
72,58.653,NITERÓI,36,366,117.273
74,58.351,ENGENHEIRO PAULO DE FRONTIN,10,43,11.058
75,58.190,CAMPOS DOS GOYTACAZES,62,383,113.817
76,58.190,CAMPOS DOS GOYTACAZES,50,324,97.844
78,58.335,DUQUE DE CAXIAS,44,334,101.734
79,58.335,DUQUE DE CAXIAS,36,304,95.826
83,58.467,MESQUITA,26,188,63.868
84,58.696,NOVA IGUAÇU,41,397,138.771
87,58.971,SÃO GONÇALO,19,278,86.152
88,59.013,SÃO JOÃO DE MERITI,26,214,65.200
89,59.013,SÃO JOÃO DE MERITI,27,246,76.057
90,59.250,VOLTA REDONDA,37,325,96.660
91,58.076,BARRA MANSA,39,294,87.205
92,58.033,ARARUAMA,45,321,107.136
93,58.050,BARRA DO PIRAÍ,37,259,68.874
94,58.076,BARRA MANSA,27,183,45.336
95,58.114,BOM JESUS DO ITABAPOANA,21,99,28.037
96,58.130,CABO FRIO,25,228,74.783
97,58.173,CAMBUCI,19,50,12.177
98,58.190,CAMPOS DOS GOYTACAZES,52,315,91.482
101,58.211,CANTAGALO,16,70,15.009
102,58.238,CARMO,17,58,14.045
103,58.335,DUQUE DE CAXIAS,41,308,80.344
104,58.378,ITABORAÍ,32,287,95.828
105,58.394,ITAGUAÍ,35,309,99.033
106,58.416,ITAOCARA,18,81,18.848
107,58.343,SÃO JOSÉ DE UBÁ,7,27,7.583
107,58.432,ITAPERUNA,37,269,75.005
108,58.874,RIO CLARO,9,51,14.467
109,58.475,MACAÉ,50,312,93.698
110,58.491,MAGÉ,50,319,92.343
111,58.890,RIO DAS FLORES,6,29,8.620
111,59.218,VALENÇA,47,223,56.273
112,58.459,LAJE DO MURIAÉ,4,25,6.999
112,58.599,MIRACEMA,16,80,20.762
116,58.017,ANGRA DOS REIS,38,208,59.902
118,60.011,RIO DE JANEIRO,25,167,63.191
119,60.011,RIO DE JANEIRO,42,365,146.808
120,60.011,RIO DE JANEIRO,24,202,80.671
122,60.011,RIO DE JANEIRO,23,195,86.955
123,60.011,RIO DE JANEIRO,26,225,89.595
125,60.011,RIO DE JANEIRO,32,283,104.413
126,58.335,DUQUE DE CAXIAS,31,309,106.939
127,58.335,DUQUE DE CAXIAS,43,306,96.138
128,58.335,DUQUE DE CAXIAS,24,191,64.155
129,58.190,CAMPOS DOS GOYTACAZES,40,222,61.886
130,58.289,SÃO FRANCISCO DE ITABAPOANA,40,140,39.473
131,59.250,VOLTA REDONDA,38,380,123.305
132,58.971,SÃO GONÇALO,24,271,91.332
133,58.971,SÃO GONÇALO,24,329,100.592
135,58.971,SÃO GONÇALO,31,374,116.801
138,58.122,QUEIMADOS,44,358,102.328
139,58.149,JAPERI,30,241,75.442
141,58.068,CARDOSO MOREIRA,8,56,12.381
141,59.293,ITALVA,6,54,11.507
144,58.653,NITERÓI,31,335,100.500
146,59.277,ARRAIAL DO CABO,13,111,34.385
147,58.017,ANGRA DOS REIS,37,238,74.370
148,58.491,MAGÉ,29,298,96.521
149,58.106,GUAPIMIRIM,30,146,44.231
150,58.467,MESQUITA,26,223,71.158
151,58.360,TANGUÁ,13,82,26.267
151,58.378,ITABORAÍ,38,260,78.522
152,58.041,BELFORD ROXO,30,276,97.405
153,58.041,BELFORD ROXO,24,235,80.375
154,58.041,BELFORD ROXO,28,252,80.058
155,58.041,BELFORD ROXO,27,235,85.263
156,58.696,NOVA IGUAÇU,53,392,120.015
157,58.696,NOVA IGUAÇU,36,278,93.417
158,58.696,NOVA IGUAÇU,41,287,99.554
159,58.696,NOVA IGUAÇU,25,228,76.176
161,60.011,RIO DE JANEIRO,17,208,90.503
162,60.011,RIO DE JANEIRO,41,342,119.111
167,60.011,RIO DE JANEIRO,18,183,69.394
169,60.011,RIO DE JANEIRO,25,221,86.805
170,60.011,RIO DE JANEIRO,37,337,129.693
172,58.408,ARMAÇÃO DOS BÚZIOS,18,110,35.301
174,58.220,AREAL,7,35,10.156
174,59.196,TRÊS RIOS,31,140,42.628
176,60.011,RIO DE JANEIRO,26,247,91.982
179,60.011,RIO DE JANEIRO,39,345,142.380
180,60.011,RIO DE JANEIRO,26,247,89.846
181,58.262,IGUABA GRANDE,21,96,29.196
182,60.011,RIO DE JANEIRO,27,260,105.567
183,58.025,QUATIS,7,35,10.314
183,58.327,PORTO REAL,7,57,17.657
184,58.203,RIO DAS OSTRAS,39,310,102.457
185,60.011,RIO DE JANEIRO,33,253,107.058
186,59.013,SÃO JOÃO DE MERITI,32,352,92.566
187,59.013,SÃO JOÃO DE MERITI,34,362,102.163
188,60.011,RIO DE JANEIRO,36,341,129.846
191,60.011,RIO DE JANEIRO,28,259,101.217
192,60.011,RIO DE JANEIRO,14,151,61.828
195,59.153,TERESÓPOLIS,48,244,70.928
196,59.331,SÃO JOSÉ DO VALE DO RIO PRETO,13,69,16.052
198,58.440,ITATIAIA,11,88,26.214
198,58.831,RESENDE,21,107,32.699
199,58.653,NITERÓI,36,251,75.452
200,58.335,DUQUE DE CAXIAS,41,253,74.803
201,58.637,NILÓPOLIS,22,247,69.802
204,60.011,RIO DE JANEIRO,37,347,109.790
211,60.011,RIO DE JANEIRO,33,257,98.482
214,60.011,RIO DE JANEIRO,35,342,130.367
216,60.011,RIO DE JANEIRO,29,223,82.472
218,60.011,RIO DE JANEIRO,25,250,97.561
219,60.011,RIO DE JANEIRO,30,269,103.073
221,58.637,NILÓPOLIS,22,202,58.469
222,58.670,NOVA FRIBURGO,45,314,89.387
225,58.424,SEROPÉDICA,31,189,60.352
229,60.011,RIO DE JANEIRO,31,301,107.814
230,60.011,RIO DE JANEIRO,19,141,61.647
233,60.011,RIO DE JANEIRO,32,286,104.026
234,60.011,RIO DE JANEIRO,25,199,83.594
238,60.011,RIO DE JANEIRO,31,264,109.461
241,60.011,RIO DE JANEIRO,15,166,72.743
242,60.011,RIO DE JANEIRO,27,193,71.080
243,60.011,RIO DE JANEIRO,21,198,83.954
245,60.011,RIO DE JANEIRO,36,284,105.713
246,60.011,RIO DE JANEIRO,33,259,108.657
254,58.475,MACAÉ,33,255,87.114
255,58.009,QUISSAMÃ,10,62,18.962
255,58.300,CARAPEBUS,7,43,13.428
256,58.130,CABO FRIO,40,290,98.354
